"","LMCache 0.4.2","LMCache 0.4.1","LMCache 0.3.15","LMCache 0.3.14","LMCache 0.3.13","LMCache 0.3.12","LMCache 0.3.11","LMCache 0.3.10"
"vLLM 0.18.0.x","✅","🕯️","🕯️","🕯️","🕯️","🕯️","🕯️","🕯️"
"vLLM 0.17.1.x","✅","🕯️","🕯️","🕯️","🕯️","🕯️","🕯️","🕯️"
"vLLM 0.17.0.x","✅","🕯️","🕯️","🕯️","🕯️","🕯️","🕯️","🕯️"
"vLLM 0.16.0.x","🕯️","✅","✅","✅","✅","✅","✅","✅"
"vLLM 0.15.1.x","🕯️","✅","✅","✅","✅","✅","✅","✅"
"vLLM 0.15.0.x","🕯️","✅","✅","✅","✅","✅","✅","✅"
"vLLM 0.14.1.x","🕯️","✅","✅","✅","✅","✅","✅","✅"
"vLLM 0.14.0.x","🕯️","✅","✅","✅","✅","✅","✅","✅"
"vLLM 0.13.0.x","🕯️","✅","✅","✅","✅","✅","✅","✅"
"vLLM 0.12.0.x","🕯️","✅","✅","✅","✅","✅","✅","✅"
"vLLM 0.11.2.x","🕯️","✅","✅","✅","✅","✅","✅","✅"
"vLLM 0.11.1.x","🕯️","✅","✅","✅","✅","✅","✅","✅"
"vLLM 0.11.0.x","🕯️","✅","✅","✅","✅","✅","✅","✅"
"vLLM 0.10.2.x","🕯️","✅","✅","✅","✅","✅","✅","✅"
"vLLM 0.10.1.x","🕯️","🕯️","🕯️","🕯️","🕯️","🕯️","🕯️","🕯️"
