prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
20042.0,10.0,16.063566207885742,3.8102121353149414,3,1,1751351921.0833106,1751351940.9570975
20042.0,10.0,38.32582330703735,3.661005973815918,4,1,1751351939.128935,1751351981.1157727
20042.0,10.0,8.20613980293274,3.7732272148132324,5,1,1751351907.050112,1751351919.029486
20078.0,10.0,61.00637483596802,3.6736416816711426,5,2,1751351957.0847309,1751352021.7647579
20042.0,10.0,24.092002153396606,3.7901206016540527,6,1,1751351925.0937998,1751351952.9759316
20078.0,10.0,83.90804600715637,3.6642401218414307,6,2,1751351975.1929796,1751352062.7652748
20042.0,10.0,46.759254693984985,3.817652940750122,7,1,1751351943.0498428,1751351993.6267571
20078.0,10.0,110.18760132789612,3.7095980644226074,7,2,1751351993.7000449,1751352107.5972514
20042.0,10.0,12.149552345275879,3.7403299808502197,8,1,1751351911.0580442,1751351926.9479353
20078.0,10.0,69.3379499912262,3.8231399059295654,8,2,1751351961.0971694,1751352034.2582684
20042.0,10.0,28.014456748962402,3.6755130290985107,9,1,1751351929.1134486,1751351960.8034267
20078.0,10.0,92.26932668685913,3.8036444187164307,9,2,1751351979.20114,1751352075.274122
20042.0,10.0,50.70025658607483,3.692650318145752,10,1,1751351947.0606062,1751352001.4535234
20078.0,10.0,110.44713711738586,0.25640392303466797,10,2,1751352001.5207934,1751352112.2243414
20042.0,10.0,13.740278244018555,3.864410400390625,11,1,1751351915.0678904,1751351932.6725862
20078.0,10.0,73.58790564537048,3.686826705932617,11,2,1751351965.1664495,1751352042.441186
20042.0,10.0,32.275357723236084,3.760103225708008,12,1,1751351933.098175,1751351969.1336458
20078.0,10.0,96.31433057785034,3.6729159355163574,12,2,1751351983.113628,1751352083.1008847
20042.0,10.0,54.92364740371704,3.7863073348999023,13,1,1751351951.0712757,1751352009.7812405
20042.0,10.0,13.932645797729492,3.82946515083313,14,1,1751351919.0772107,1751351936.839328
20078.0,10.0,77.82262420654297,3.7687489986419678,14,2,1751351969.1764688,1751352050.7678514
20042.0,10.0,36.49650025367737,3.837465763092041,15,1,1751351937.122349,1751351977.456334
20078.0,10.0,100.55647921562195,3.754063844680786,15,2,1751351987.121566,1751352091.4321203
20042.0,10.0,6.098978757858276,3.741502046585083,16,1,1751351905.0420654,1751351914.8825545
20078.0,10.0,59.17052340507507,3.8421056270599365,16,2,1751351955.0794675,1751352018.0921054
20042.0,10.0,21.99281144142151,3.7320830821990967,17,1,1751351923.0879953,1751351948.8128977
20078.0,10.0,82.17946648597717,3.8364882469177246,17,2,1751351973.0869832,1751352059.1029468
20042.0,10.0,44.656190395355225,3.7592341899871826,18,1,1751351941.0374775,1751351989.4529107
20078.0,10.0,104.79579424858093,3.8369977474212646,18,2,1751351991.1291308,1751352099.7619328
20042.0,10.0,10.31304383277893,3.8426241874694824,19,1,1751351909.0535269,1751351923.2092035
20078.0,10.0,67.22358226776123,3.764291763305664,19,2,1751351959.0921814,1751352030.0800648
20042.0,10.0,26.20350980758667,3.8159637451171875,20,1,1751351927.1079674,1751351957.1274462
20078.0,10.0,90.15191316604614,3.749026298522949,20,2,1751351977.196886,1751352071.0978358
20042.0,10.0,48.88927698135376,3.817199945449829,21,1,1751351945.0550141,1751351997.761499
20078.0,10.0,110.21063137054443,3.7321693897247314,21,2,1751351997.809847,1751352111.752657
20042.0,10.0,11.560908317565918,3.7881510257720947,22,1,1751351913.063064,1751351928.4121323
20078.0,10.0,71.41429448127747,4.181598901748657,22,2,1751351963.1603494,1751352038.7562506
20042.0,10.0,30.229310512542725,3.7052109241485596,23,1,1751351931.0299838,1751351964.9645135
20078.0,10.0,94.49930119514465,3.8245251178741455,23,2,1751351981.105032,1751352079.428867
20042.0,10.0,52.81406497955322,3.722229242324829,24,1,1751351949.0658383,1751352005.6021411
20042.0,10.0,11.736451148986816,3.8640027046203613,25,1,1751351917.0724468,1751351932.6729121
20078.0,10.0,75.71141743659973,3.7085561752319336,25,2,1751351967.1713457,1751352046.5913253
20042.0,10.0,34.40176963806152,3.791342258453369,26,1,1751351935.1031923,1751351973.2963126
20078.0,10.0,98.44216012954712,3.694916009902954,26,2,1751351985.1179187,1751352087.2550068
20042.0,10.0,4.00688099861145,3.67564058303833,27,1,1751351903.0366552,1751351910.719184
20078.0,10.0,57.05801796913147,3.8063695430755615,27,2,1751351953.0746384,1751352013.939035
20042.0,10.0,19.8693265914917,3.702627658843994,28,1,1751351921.0861301,1751351944.6580927
20078.0,10.0,80.05750465393066,3.8053486347198486,28,2,1751351971.0813804,1751352054.9442427
20042.0,10.0,42.42378067970276,3.7340571880340576,29,1,1751351939.1326725,1751351985.2905204
20078.0,10.0,102.58657097816467,3.775233268737793,29,2,1751351989.2254226,1751352095.587236
20042.0,10.0,65.00426149368286,3.735835313796997,30,1,1751351957.1862926,1751352025.9263964
20042.0,10.0,88.02498984336853,3.720421075820923,31,1,1751351975.1958861,1751352066.9413033
20042.0,10.0,106.46268653869629,3.6640803813934326,32,1,1751351993.2989028,1751352103.425676
