Token Number,Rates
0,[]
0,[]
16925,[0.485714286.]
15338,[0.485714286.]
15637,[0.485714286.]
0,[]
18640,[0.485714286.]
18469,[0.485714286.]
0,[]
0,[]
15897,[0.485714286.]
0,[]
16192,[0.485714286.]
15342,[0.485714286.]
0,[]
15900,[0.485714286.]
0,[]
17009,[0.485714286.]
17789,[0.485714286.]
26195,[0.485714286.]
16927,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
30485,[0.485714286.]
17006,[0.485714286.]
0,[]
26198,[0.485714286.]
16189,[0.485714286.]
17793,[0.485714286.]
0,[]
16205,[0.485714286.]
0,[]
0,[]
16930,[0.485714286.]
0,[]
16204,[0.485714286.]
0,[]
0,[]
0,[]
15704,[0.485714286.]
0,[]
17794,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
16189,[0.485714286.]
0,[]
0,[]
0,[]
15343,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
17773,[0.485714286.]
15393,[0.485714286.]
30043,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
17777,[0.485714286.]
30042,[0.485714286.]
16193,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
0,[]
26196,[0.485714286.]
0,[]
18643,[0.485714286.]
18636,[0.485714286.]
25472,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
0,[]
25465,[0.485714286.]
17776,[0.485714286.]
25462,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
16928,[0.485714286.]
17791,[0.485714286.]
0,[]
15897,[0.485714286.]
0,[]
15333,[0.485714286.]
0,[]
0,[]
0,[]
15397,[0.485714286.]
15402,[0.485714286.]
0,[]
0,[]
17012,[0.485714286.]
0,[]
18470,[0.485714286.]
0,[]
0,[]
17787,[0.485714286.]
15388,[0.485714286.]
0,[]
15638,[0.485714286.]
0,[]
0,[]
15635,[0.485714286.]
30038,[0.485714286.]
0,[]
0,[]
0,[]
25464,[0.485714286.]
0,[]
18641,[0.485714286.]
0,[]
18470,[0.485714286.]
0,[]
15705,[0.485714286.]
0,[]
0,[]
0,[]
30044,[0.485714286.]
0,[]
30038,[0.485714286.]
17776,[0.485714286.]
0,[]
15341,[0.485714286.]
0,[]
18467,[0.485714286.]
0,[]
15706,[0.485714286.]
15894,[0.485714286.]
0,[]
26196,[0.485714286.]
25472,[0.485714286.]
0,[]
17012,[0.485714286.]
0,[]
0,[]
15711,[0.485714286.]
0,[]
0,[]
0,[]
25462,[0.485714286.]
0,[]
18470,[0.485714286.]
0,[]
0,[]
25462,[0.485714286.]
15397,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
30484,[0.485714286.]
0,[]
0,[]
15711,[0.485714286.]
0,[]
16198,[0.485714286.]
25473,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
0,[]
16205,[0.485714286.]
15335,[0.485714286.]
18470,[0.485714286.]
0,[]
30485,[0.485714286.]
0,[]
0,[]
18643,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
15706,[0.371428571.]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
