Token Number,Rates
9542,[0.485714286.]
2686,[0.485714286.]
13128,[0.485714286.]
8433,[0.485714286.]
9969,[0.485714286.]
14296,[0.485714286.]
16774,[0.485714286.]
16636,[0.485714286.]
11618,[0.485714286.]
3122,[0.485714286.]
9919,[0.485714286.]
9723,[0.485714286.]
5172,[0.485714286.]
13070,[0.485714286.]
11101,[0.485714286.]
9913,[0.485714286.]
4571,[0.485714286.]
3224,[0.485714286.]
14458,[0.485714286.]
4828,[0.485714286.]
16267,[0.485714286.]
15915,[0.485714286.]
3352,[0.485714286.]
7038,[0.485714286.]
14003,[0.485714286.]
4835,[0.485714286.]
10307,[0.485714286.]
13713,[0.485714286.]
9536,[0.485714286.]
18085,[0.485714286.]
5527,[0.485714286.]
6487,[0.485714286.]
6877,[0.485714286.]
13910,[0.485714286.]
2118,[0.485714286.]
14607,[0.485714286.]
12994,[0.485714286.]
14733,[0.485714286.]
12177,[0.485714286.]
4006,[0.485714286.]
4806,[0.485714286.]
1845,[0.485714286.]
7100,[0.485714286.]
15356,[0.485714286.]
12192,[0.485714286.]
11632,[0.485714286.]
2506,[0.485714286.]
7335,[0.485714286.]
1830,[0.485714286.]
11672,[0.485714286.]
4081,[0.485714286.]
14920,[0.485714286.]
14043,[0.485714286.]
12740,[0.485714286.]
3640,[0.485714286.]
10551,[0.485714286.]
16525,[0.485714286.]
2149,[0.485714286.]
4755,[0.485714286.]
15984,[0.485714286.]
3694,[0.485714286.]
14556,[0.485714286.]
6161,[0.485714286.]
8511,[0.485714286.]
13165,[0.485714286.]
13907,[0.485714286.]
2517,[0.485714286.]
10008,[0.485714286.]
9226,[0.485714286.]
1497,[0.485714286.]
11041,[0.485714286.]
9053,[0.485714286.]
3159,[0.485714286.]
8549,[0.485714286.]
9792,[0.485714286.]
4725,[0.485714286.]
14122,[0.485714286.]
13736,[0.485714286.]
8266,[0.485714286.]
15410,[0.485714286.]
7246,[0.485714286.]
16706,[0.485714286.]
6608,[0.485714286.]
6231,[0.485714286.]
12939,[0.485714286.]
3818,[0.485714286.]
3320,[0.485714286.]
3249,[0.485714286.]
10481,[0.485714286.]
12117,[0.485714286.]
2660,[0.485714286.]
9357,[0.485714286.]
14141,[0.485714286.]
9245,[0.485714286.]
11739,[0.485714286.]
17926,[0.485714286.]
5927,[0.485714286.]
15082,[0.485714286.]
2502,[0.485714286.]
10364,[0.485714286.]
12952,[0.485714286.]
11724,[0.485714286.]
10121,[0.485714286.]
3237,[0.485714286.]
3038,[0.485714286.]
0,[]
5312,[0.485714286.]
0,[]
0,[]
7003,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
0,[]
3369,[0.485714286.]
3385,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
2054,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
1841,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
0,[]
