Token Number,Rates
9542,[0.485714286.]
0,[]
13128,[0.485714286.]
8433,[0.485714286.]
9969,[0.485714286.]
14296,[0.485714286.]
16774,[0.485714286.]
16636,[0.485714286.]
11618,[0.485714286.]
3122,[0.371428571.]
9919,[0.485714286.]
9723,[0.485714286.]
5172,[0.371428571.]
13070,[0.485714286.]
11101,[0.485714286.]
9913,[0.485714286.]
4571,[0.371428571.]
3224,[0.371428571.]
14458,[0.485714286.]
4828,[0.371428571.]
16267,[0.485714286.]
15915,[0.485714286.]
3352,[0.371428571.]
7038,[0.371428571.]
14003,[0.485714286.]
4835,[0.371428571.]
10307,[0.485714286.]
13713,[0.485714286.]
9536,[0.485714286.]
18085,[0.485714286.]
5527,[0.371428571.]
6487,[0.371428571.]
6877,[0.371428571.]
13910,[0.485714286.]
0,[]
14607,[0.485714286.]
12994,[0.485714286.]
14733,[0.485714286.]
12177,[0.485714286.]
4006,[0.371428571.]
4806,[0.371428571.]
0,[]
7100,[0.485714286.]
15356,[0.485714286.]
12192,[0.485714286.]
11632,[0.485714286.]
0,[]
7335,[0.485714286.]
0,[]
11672,[0.485714286.]
4081,[0.371428571.]
14920,[0.485714286.]
14043,[0.485714286.]
12740,[0.485714286.]
3640,[0.371428571.]
10551,[0.485714286.]
16525,[0.485714286.]
0,[]
4755,[0.371428571.]
15984,[0.485714286.]
3694,[0.371428571.]
14556,[0.485714286.]
6161,[0.371428571.]
8511,[0.485714286.]
13165,[0.485714286.]
13907,[0.485714286.]
0,[]
10008,[0.485714286.]
9226,[0.485714286.]
0,[]
11041,[0.485714286.]
9053,[0.485714286.]
0,[]
8549,[0.485714286.]
9792,[0.485714286.]
4725,[0.371428571.]
14122,[0.485714286.]
13736,[0.485714286.]
8266,[0.485714286.]
15410,[0.485714286.]
7246,[0.485714286.]
16706,[0.485714286.]
6608,[0.371428571.]
6231,[0.371428571.]
12939,[0.485714286.]
3818,[0.371428571.]
3320,[0.371428571.]
3249,[0.371428571.]
10481,[0.485714286.]
12117,[0.485714286.]
0,[]
9357,[0.485714286.]
14141,[0.485714286.]
9245,[0.485714286.]
11739,[0.485714286.]
17926,[0.485714286.]
5927,[0.371428571.]
15082,[0.485714286.]
0,[]
10364,[0.485714286.]
12952,[0.485714286.]
11724,[0.485714286.]
10121,[0.485714286.]
3237,[0.371428571.]
0,[]
9349,[0.485714286.]
5312,[0.371428571.]
8214,[0.485714286.]
7918,[0.485714286.]
7003,[0.371428571.]
5753,[0.371428571.]
12735,[0.371428571.]
8501,[0.371428571.]
5960,[0.371428571.]
6222,[0.371428571.]
0,[]
0,[]
17239,[0.371428571.]
7586,[0.485714286.]
6468,[0.371428571.]
0,[]
0,[]
0,[]
16049,[0.371428571.]
4991,[0.371428571.]
5839,[0.371428571.]
0,[]
0,[]
4549,[0.371428571.]
0,[]
3494,[0.371428571.]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
4276,[0.371428571.]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
