Token Number,Rates
9542,[0.371428571.]
0,[]
13128,[0.371428571.]
8433,[0.371428571.]
9969,[0.371428571.]
14296,[0.371428571.]
16774,[0.371428571.]
16636,[0.371428571.]
11618,[0.371428571.]
0,[]
9919,[0.371428571.]
9723,[0.371428571.]
0,[]
13070,[0.371428571.]
11101,[0.371428571.]
9913,[0.371428571.]
0,[]
0,[]
14458,[0.371428571.]
0,[]
16267,[0.371428571.]
15915,[0.371428571.]
0,[]
7038,[0.371428571.]
14003,[0.371428571.]
0,[]
10307,[0.371428571.]
13713,[0.371428571.]
9536,[0.371428571.]
18085,[0.371428571.]
0,[]
6487,[0.371428571.]
6877,[0.371428571.]
13910,[0.371428571.]
0,[]
14607,[0.371428571.]
12994,[0.371428571.]
14733,[0.371428571.]
12177,[0.371428571.]
0,[]
0,[]
0,[]
7100,[0.371428571.]
15356,[0.371428571.]
12192,[0.371428571.]
11632,[0.371428571.]
0,[]
7335,[0.371428571.]
0,[]
11672,[0.371428571.]
0,[]
14920,[0.371428571.]
14043,[0.371428571.]
12740,[0.371428571.]
0,[]
10551,[0.371428571.]
16525,[0.371428571.]
0,[]
0,[]
15984,[0.371428571.]
0,[]
14556,[0.371428571.]
6161,[0.371428571.]
8511,[0.371428571.]
13165,[0.371428571.]
13907,[0.371428571.]
0,[]
10008,[0.371428571.]
9226,[0.371428571.]
0,[]
11041,[0.371428571.]
9053,[0.371428571.]
0,[]
8549,[0.371428571.]
9792,[0.371428571.]
0,[]
14122,[0.371428571.]
13736,[0.371428571.]
8266,[0.371428571.]
15410,[0.371428571.]
7246,[0.371428571.]
16706,[0.371428571.]
6608,[0.371428571.]
6231,[0.371428571.]
12939,[0.371428571.]
0,[]
0,[]
0,[]
10481,[0.371428571.]
12117,[0.371428571.]
0,[]
9357,[0.371428571.]
14141,[0.371428571.]
9245,[0.371428571.]
11739,[0.371428571.]
17926,[0.371428571.]
5927,[0.371428571.]
15082,[0.371428571.]
0,[]
10364,[0.371428571.]
12952,[0.371428571.]
11724,[0.371428571.]
10121,[0.371428571.]
0,[]
0,[]
9349,[0.371428571.]
0,[]
8214,[0.371428571.]
7918,[0.371428571.]
7003,[0.371428571.]
5753,[0.371428571.]
12735,[0.371428571.]
8501,[0.371428571.]
5960,[0.371428571.]
6222,[0.371428571.]
0,[]
0,[]
17239,[0.371428571.]
7586,[0.371428571.]
6468,[0.371428571.]
7146,[0.371428571.]
0,[]
10654,[0.371428571.]
16049,[0.371428571.]
0,[]
5839,[0.371428571.]
15755,[0.371428571.]
14227,[0.371428571.]
0,[]
0,[]
0,[]
9414,[0.371428571.]
13752,[0.371428571.]
12562,[0.371428571.]
9666,[0.371428571.]
14028,[0.371428571.]
0,[]
0,[]
0,[]
0,[]
16668,[0.371428571.]
14713,[0.371428571.]
0,[]
5800,[0.371428571.]
10429,[0.371428571.]
10590,[0.371428571.]
9827,[0.371428571.]
10430,[0.371428571.]
17041,[0.371428571.]
13413,[0.371428571.]
0,[]
10636,[0.371428571.]
13474,[0.371428571.]
9393,[0.371428571.]
10503,[0.371428571.]
0,[]
13265,[0.371428571.]
12226,[0.371428571.]
7515,[0.371428571.]
0,[]
16371,[0.371428571.]
5550,[0.371428571.]
11771,[0.371428571.]
7923,[0.371428571.]
14415,[0.371428571.]
0,[]
15565,[0.371428571.]
11263,[0.371428571.]
0,[]
10166,[0.371428571.]
14586,[0.371428571.]
0,[]
10759,[0.371428571.]
15001,[0.371428571.]
6077,[0.371428571.]
0,[]
12946,[0.371428571.]
0,[]
16175,[0.371428571.]
0,[]
14723,[0.371428571.]
0,[]
11382,[0.371428571.]
6043,[0.371428571.]
0,[]
11810,[0.371428571.]
15049,[0.371428571.]
8606,[0.371428571.]
0,[]
12400,[0.371428571.]
5597,[0.371428571.]
14436,[0.371428571.]
8062,[0.371428571.]
8756,[0.371428571.]
0,[]
13823,[0.371428571.]
11844,[0.371428571.]
16708,[0.371428571.]
8313,[0.371428571.]
15811,[0.371428571.]
