index,dataset,method
110,lcc_e,streaming
119,repobench-p_e,streaming
265,repobench-p_e,kivi
77,lcc_e,streaming
181,lcc_e,streaming
169,repobench-p_e,streaming
10,lcc_e,streaming
284,lcc_e,streaming
78,lcc_e,streaming
55,lcc_e,kivi
49,repobench-p_e,kivi
288,repobench-p_e,streaming
109,lcc_e,kivi
118,lcc_e,kivi
234,lcc_e,streaming
69,repobench-p_e,kivi
30,lcc_e,streaming
212,lcc_e,kivi
86,lcc_e,kivi
184,lcc_e,streaming
287,repobench-p_e,streaming
2,lcc_e,kivi
296,repobench-p_e,streaming
235,repobench-p_e,streaming
68,repobench-p_e,streaming
239,repobench-p_e,kivi
72,lcc_e,streaming
135,lcc_e,streaming
256,repobench-p_e,streaming
137,repobench-p_e,kivi
257,lcc_e,kivi
163,lcc_e,kivi
295,repobench-p_e,streaming
82,lcc_e,kivi
192,lcc_e,streaming
153,repobench-p_e,streaming
132,lcc_e,kivi
215,repobench-p_e,streaming
141,repobench-p_e,kivi
64,repobench-p_e,kivi
275,lcc_e,kivi
206,repobench-p_e,kivi
24,lcc_e,kivi
270,repobench-p_e,streaming
29,lcc_e,kivi
182,lcc_e,kivi
173,repobench-p_e,streaming
104,lcc_e,streaming
63,lcc_e,kivi
245,lcc_e,streaming
190,repobench-p_e,streaming
248,lcc_e,kivi
101,lcc_e,streaming
56,repobench-p_e,kivi
291,repobench-p_e,streaming
255,repobench-p_e,streaming
209,lcc_e,kivi
165,lcc_e,streaming
29,repobench-p_e,streaming
137,lcc_e,kivi
176,lcc_e,streaming
76,lcc_e,kivi
195,lcc_e,kivi
236,repobench-p_e,kivi
248,repobench-p_e,kivi
261,repobench-p_e,streaming
289,repobench-p_e,streaming
81,lcc_e,kivi
70,lcc_e,kivi
16,repobench-p_e,kivi
4,repobench-p_e,kivi
129,repobench-p_e,kivi
123,repobench-p_e,kivi
74,repobench-p_e,streaming
6,lcc_e,streaming
237,repobench-p_e,kivi
238,lcc_e,kivi
12,repobench-p_e,streaming
259,repobench-p_e,streaming
132,repobench-p_e,streaming
286,lcc_e,streaming
126,repobench-p_e,streaming
298,repobench-p_e,kivi
61,repobench-p_e,streaming
73,lcc_e,kivi
155,lcc_e,streaming
39,lcc_e,streaming
218,lcc_e,kivi
70,repobench-p_e,kivi
210,lcc_e,kivi
235,lcc_e,streaming
246,repobench-p_e,kivi
259,lcc_e,kivi
60,lcc_e,streaming
0,repobench-p_e,kivi
280,lcc_e,streaming
228,lcc_e,streaming
11,lcc_e,kivi
112,repobench-p_e,kivi
208,lcc_e,kivi
90,lcc_e,kivi
83,lcc_e,kivi
238,repobench-p_e,kivi
35,repobench-p_e,kivi
79,lcc_e,kivi
134,repobench-p_e,kivi
140,lcc_e,kivi
281,lcc_e,streaming
199,lcc_e,kivi
268,lcc_e,streaming
