Token Number,Rates,length,index_in_dataset,occurrence_number,device
0,[],2113,9,1,
0,[],4927,80,1,
0,[],10510,33,1,
0,[],6608,10,1,
0,[],10490,93,1,
0,[],1691,66,1,
0,[],12786,94,1,
0,[],10516,84,1,
0,[],1322,129,1,
0,[],8187,9,1,
0,[],4757,126,1,
0,[],8563,72,1,
0,[],3236,56,1,
0,[],3760,161,1,
0,[],1789,42,1,
0,[],5341,132,1,
0,[],8885,176,1,
0,[],5571,78,1,
0,[],7941,185,1,
0,[],4381,31,1,
0,[],19654,77,1,
0,[],11887,15,1,
0,[],9825,191,1,
0,[],6099,71,1,
0,[],7341,0,1,
0,[],8082,196,1,
0,[],6952,114,1,
0,[],4187,62,1,
0,[],3276,25,1,
0,[],9694,61,1,
0,[],11172,193,1,
0,[],9352,195,1,
0,[],10199,57,1,
0,[],11315,104,1,
0,[],4686,32,1,
0,[],8560,116,1,
0,[],11299,113,1,
0,[],3375,142,1,
0,[],4807,158,1,
0,[],2757,181,1,
0,[],10205,141,1,
0,[],10497,55,1,
0,[],8984,76,1,
0,[],8554,25,1,
0,[],10509,82,1,
0,[],6398,181,1,
0,[],9368,22,1,
0,[],12805,148,1,
0,[],7807,182,1,
0,[],8192,173,1,
0,[],9188,46,1,
0,[],3477,121,1,
0,[],3425,138,1,
0,[],12340,39,1,
0,[],23789,70,1,
0,[],4187,174,1,
0,[],4803,23,1,
0,[],20282,172,1,
0,[],8194,124,1,
0,[],7165,55,1,
0,[],3984,152,1,
0,[],7781,94,1,
0,[],19656,30,1,
0,[],5990,101,1,
0,[],10512,78,1,
0,[],9076,152,1,
0,[],6236,68,1,
0,[],1198,194,1,
0,[],12329,31,1,
0,[],10507,73,1,
0,[],4873,120,1,
0,[],14011,140,1,
0,[],4809,5,1,
0,[],13887,45,1,
0,[],3429,188,1,
0,[],1644,46,1,
0,[],9214,27,1,
0,[],6911,169,1,
0,[],9377,176,1,
0,[],8345,89,1,
0,[],10667,3,1,
0,[],13883,18,1,
0,[],6733,74,1,
0,[],8984,2,1,
0,[],2654,50,1,
