index,dataset,method
9,samsum,streaming
80,samsum,streaming
33,qmsum,streaming
10,samsum,streaming
93,qmsum,streaming
66,samsum,streaming
94,qmsum,streaming
129,samsum,streaming
84,qmsum,streaming
126,qmsum,streaming
9,qmsum,streaming
72,qmsum,streaming
56,qmsum,streaming
161,samsum,streaming
42,qmsum,streaming
132,qmsum,streaming
78,samsum,streaming
176,samsum,streaming
185,samsum,streaming
31,samsum,streaming
15,qmsum,streaming
77,qmsum,streaming
71,samsum,streaming
191,samsum,streaming
0,qmsum,streaming
196,samsum,streaming
114,qmsum,streaming
62,samsum,streaming
25,samsum,streaming
57,qmsum,streaming
61,samsum,streaming
193,qmsum,streaming
195,samsum,streaming
104,qmsum,streaming
32,samsum,streaming
116,qmsum,streaming
113,qmsum,streaming
142,samsum,streaming
158,qmsum,streaming
141,qmsum,streaming
181,samsum,streaming
76,qmsum,streaming
82,qmsum,streaming
55,qmsum,streaming
25,qmsum,streaming
182,samsum,streaming
22,qmsum,streaming
148,qmsum,streaming
181,qmsum,streaming
46,qmsum,streaming
173,qmsum,streaming
121,samsum,streaming
138,samsum,streaming
174,samsum,streaming
39,qmsum,streaming
70,qmsum,streaming
23,samsum,streaming
172,qmsum,streaming
55,samsum,streaming
124,qmsum,streaming
94,samsum,streaming
30,qmsum,streaming
152,qmsum,streaming
78,qmsum,streaming
101,qmsum,streaming
194,samsum,streaming
152,samsum,streaming
31,qmsum,streaming
68,samsum,streaming
73,qmsum,streaming
120,samsum,streaming
140,qmsum,streaming
5,qmsum,streaming
45,qmsum,streaming
188,samsum,streaming
46,samsum,streaming
27,samsum,streaming
169,samsum,streaming
176,qmsum,streaming
18,qmsum,streaming
3,qmsum,streaming
89,samsum,streaming
74,samsum,streaming
2,samsum,streaming
50,samsum,streaming
48,samsum,kivi
63,qmsum,streaming
101,samsum,streaming
108,qmsum,streaming
90,qmsum,streaming
135,samsum,streaming
33,samsum,streaming
180,qmsum,streaming
20,samsum,streaming
118,qmsum,streaming
114,samsum,streaming
173,samsum,streaming
180,samsum,streaming
39,samsum,streaming
47,samsum,streaming
110,qmsum,streaming
75,qmsum,streaming
16,qmsum,streaming
66,qmsum,streaming
153,qmsum,streaming
7,qmsum,streaming
137,qmsum,streaming
19,qmsum,streaming
149,samsum,streaming
155,samsum,streaming
