index,dataset,method
9,triviaqa,kivi
80,triviaqa,kivi
33,hotpotqa,kivi
10,triviaqa,streaming
93,hotpotqa,kivi
66,triviaqa,kivi
94,hotpotqa,kivi
129,triviaqa,streaming
84,hotpotqa,kivi
126,hotpotqa,kivi
9,hotpotqa,kivi
72,hotpotqa,kivi
56,hotpotqa,kivi
161,triviaqa,kivi
42,hotpotqa,kivi
132,hotpotqa,kivi
78,triviaqa,kivi
176,triviaqa,kivi
185,triviaqa,kivi
31,triviaqa,kivi
15,hotpotqa,kivi
77,hotpotqa,kivi
71,triviaqa,kivi
191,triviaqa,kivi
0,hotpotqa,kivi
196,triviaqa,kivi
114,hotpotqa,kivi
62,triviaqa,kivi
25,triviaqa,kivi
57,hotpotqa,kivi
61,triviaqa,kivi
193,hotpotqa,kivi
195,triviaqa,kivi
104,hotpotqa,kivi
32,triviaqa,kivi
116,hotpotqa,kivi
113,hotpotqa,kivi
142,triviaqa,kivi
158,hotpotqa,kivi
141,hotpotqa,kivi
181,triviaqa,kivi
76,hotpotqa,kivi
82,hotpotqa,kivi
55,hotpotqa,kivi
25,hotpotqa,kivi
182,triviaqa,kivi
22,hotpotqa,kivi
148,hotpotqa,kivi
181,hotpotqa,kivi
46,hotpotqa,kivi
173,hotpotqa,kivi
121,triviaqa,kivi
138,triviaqa,kivi
174,triviaqa,kivi
39,hotpotqa,kivi
70,hotpotqa,kivi
23,triviaqa,kivi
172,hotpotqa,kivi
55,triviaqa,streaming
124,hotpotqa,kivi
94,triviaqa,kivi
30,hotpotqa,kivi
152,hotpotqa,kivi
78,hotpotqa,kivi
101,hotpotqa,kivi
194,triviaqa,kivi
152,triviaqa,kivi
31,hotpotqa,kivi
68,triviaqa,kivi
73,hotpotqa,kivi
120,triviaqa,streaming
140,hotpotqa,kivi
5,hotpotqa,kivi
45,hotpotqa,kivi
188,triviaqa,kivi
46,triviaqa,kivi
27,triviaqa,kivi
169,triviaqa,kivi
176,hotpotqa,kivi
18,hotpotqa,kivi
3,hotpotqa,kivi
89,triviaqa,kivi
74,triviaqa,streaming
2,triviaqa,kivi
50,triviaqa,kivi
48,triviaqa,kivi
63,hotpotqa,kivi
101,triviaqa,kivi
108,hotpotqa,kivi
90,hotpotqa,kivi
135,triviaqa,streaming
33,triviaqa,kivi
180,hotpotqa,kivi
20,triviaqa,kivi
118,hotpotqa,kivi
114,triviaqa,kivi
173,triviaqa,kivi
180,triviaqa,kivi
39,triviaqa,kivi
47,triviaqa,kivi
110,hotpotqa,kivi
75,hotpotqa,kivi
16,hotpotqa,kivi
66,hotpotqa,kivi
153,hotpotqa,kivi
7,hotpotqa,kivi
137,hotpotqa,kivi
19,hotpotqa,kivi
149,triviaqa,kivi
155,triviaqa,streaming
131,hotpotqa,kivi
187,triviaqa,streaming
92,triviaqa,kivi
186,triviaqa,kivi
97,triviaqa,kivi
60,hotpotqa,kivi
79,hotpotqa,kivi
105,triviaqa,kivi
85,triviaqa,kivi
81,triviaqa,kivi
157,hotpotqa,kivi
147,triviaqa,kivi
17,hotpotqa,kivi
109,hotpotqa,kivi
24,hotpotqa,kivi
175,hotpotqa,kivi
151,triviaqa,streaming
132,triviaqa,kivi
167,hotpotqa,kivi
45,triviaqa,kivi
111,triviaqa,kivi
145,hotpotqa,kivi
58,triviaqa,kivi
177,hotpotqa,kivi
119,hotpotqa,kivi
65,triviaqa,kivi
29,triviaqa,kivi
194,hotpotqa,kivi
18,triviaqa,kivi
107,triviaqa,kivi
36,hotpotqa,kivi
139,hotpotqa,kivi
91,triviaqa,kivi
155,hotpotqa,kivi
196,hotpotqa,kivi
84,triviaqa,kivi
59,hotpotqa,kivi
111,hotpotqa,kivi
165,hotpotqa,kivi
163,triviaqa,kivi
6,hotpotqa,kivi
133,triviaqa,kivi
75,triviaqa,kivi
150,hotpotqa,kivi
10,hotpotqa,kivi
192,hotpotqa,kivi
103,hotpotqa,kivi
81,hotpotqa,kivi
116,triviaqa,kivi
198,triviaqa,kivi
175,triviaqa,kivi
8,triviaqa,kivi
86,triviaqa,kivi
168,hotpotqa,kivi
177,triviaqa,kivi
163,hotpotqa,kivi
153,triviaqa,streaming
89,hotpotqa,kivi
147,hotpotqa,kivi
28,triviaqa,kivi
92,hotpotqa,kivi
69,hotpotqa,kivi
123,hotpotqa,kivi
126,triviaqa,kivi
97,hotpotqa,kivi
96,hotpotqa,kivi
143,hotpotqa,kivi
38,triviaqa,streaming
68,hotpotqa,kivi
23,hotpotqa,kivi
37,hotpotqa,kivi
144,hotpotqa,kivi
122,hotpotqa,kivi
182,hotpotqa,kivi
198,hotpotqa,kivi
124,triviaqa,kivi
67,hotpotqa,kivi
19,triviaqa,kivi
117,triviaqa,kivi
195,hotpotqa,kivi
125,hotpotqa,kivi
146,hotpotqa,kivi
136,triviaqa,kivi
171,triviaqa,kivi
86,hotpotqa,kivi
140,triviaqa,streaming
137,triviaqa,kivi
154,triviaqa,kivi
134,triviaqa,kivi
102,triviaqa,kivi
3,triviaqa,streaming
183,hotpotqa,kivi
83,triviaqa,kivi
82,triviaqa,kivi
11,triviaqa,kivi
129,hotpotqa,kivi
38,hotpotqa,kivi
11,hotpotqa,kivi
125,triviaqa,kivi
185,hotpotqa,kivi
22,triviaqa,kivi
112,hotpotqa,kivi
179,hotpotqa,kivi
99,triviaqa,kivi
127,triviaqa,streaming
117,hotpotqa,kivi
168,triviaqa,streaming
77,triviaqa,streaming
184,triviaqa,kivi
87,triviaqa,kivi
162,triviaqa,kivi
164,hotpotqa,kivi
53,triviaqa,kivi
136,hotpotqa,kivi
154,hotpotqa,kivi
199,hotpotqa,kivi
197,hotpotqa,kivi
192,triviaqa,kivi
2,hotpotqa,kivi
4,triviaqa,kivi
115,hotpotqa,kivi
37,triviaqa,streaming
34,triviaqa,kivi
26,hotpotqa,kivi
120,hotpotqa,kivi
157,triviaqa,kivi
24,triviaqa,kivi
160,triviaqa,kivi
178,triviaqa,kivi
150,triviaqa,kivi
127,hotpotqa,kivi
179,triviaqa,kivi
74,hotpotqa,kivi
122,triviaqa,kivi
29,hotpotqa,kivi
83,hotpotqa,kivi
189,triviaqa,kivi
107,hotpotqa,kivi
49,triviaqa,kivi
96,triviaqa,kivi
133,hotpotqa,kivi
44,triviaqa,kivi
184,hotpotqa,kivi
90,triviaqa,kivi
44,hotpotqa,kivi
167,triviaqa,kivi
85,hotpotqa,kivi
65,hotpotqa,kivi
42,triviaqa,kivi
186,hotpotqa,kivi
12,hotpotqa,kivi
35,hotpotqa,kivi
159,hotpotqa,kivi
28,hotpotqa,kivi
170,hotpotqa,kivi
142,hotpotqa,kivi
118,triviaqa,kivi
72,triviaqa,kivi
21,triviaqa,kivi
95,hotpotqa,kivi
51,hotpotqa,kivi
40,triviaqa,kivi
98,triviaqa,kivi
104,triviaqa,streaming
178,hotpotqa,kivi
41,hotpotqa,kivi
110,triviaqa,kivi
6,triviaqa,kivi
131,triviaqa,kivi
54,triviaqa,kivi
4,hotpotqa,kivi
141,triviaqa,kivi
56,triviaqa,kivi
100,hotpotqa,kivi
158,triviaqa,kivi
26,triviaqa,kivi
13,triviaqa,kivi
171,hotpotqa,kivi
98,hotpotqa,kivi
15,triviaqa,kivi
61,hotpotqa,kivi
47,hotpotqa,kivi
32,hotpotqa,kivi
30,triviaqa,kivi
112,triviaqa,kivi
27,hotpotqa,kivi
67,triviaqa,kivi
0,triviaqa,kivi
156,triviaqa,kivi
60,triviaqa,kivi
88,triviaqa,kivi
64,hotpotqa,kivi
100,triviaqa,kivi
128,hotpotqa,kivi
135,hotpotqa,kivi
62,hotpotqa,kivi
138,hotpotqa,kivi
170,triviaqa,kivi
162,hotpotqa,kivi
8,hotpotqa,kivi
156,hotpotqa,kivi
14,hotpotqa,kivi
166,triviaqa,kivi
40,hotpotqa,kivi
123,triviaqa,kivi
79,triviaqa,kivi
16,triviaqa,kivi
146,triviaqa,kivi
36,triviaqa,kivi
7,triviaqa,kivi
12,triviaqa,kivi
95,triviaqa,kivi
51,triviaqa,kivi
164,triviaqa,kivi
190,triviaqa,kivi
165,triviaqa,kivi
103,triviaqa,kivi
69,triviaqa,kivi
1,triviaqa,kivi
17,triviaqa,kivi
161,hotpotqa,kivi
43,hotpotqa,kivi
190,hotpotqa,kivi
109,triviaqa,kivi
59,triviaqa,kivi
105,hotpotqa,kivi
53,hotpotqa,kivi
49,hotpotqa,kivi
5,triviaqa,kivi
80,hotpotqa,kivi
1,hotpotqa,kivi
34,hotpotqa,kivi
13,hotpotqa,kivi
63,triviaqa,streaming
41,triviaqa,kivi
139,triviaqa,kivi
91,hotpotqa,kivi
64,triviaqa,kivi
52,hotpotqa,kivi
145,triviaqa,kivi
115,triviaqa,kivi
88,hotpotqa,kivi
73,triviaqa,kivi
166,hotpotqa,kivi
193,triviaqa,kivi
128,triviaqa,kivi
134,hotpotqa,kivi
106,triviaqa,streaming
183,triviaqa,kivi
119,triviaqa,kivi
43,triviaqa,kivi
54,hotpotqa,kivi
50,hotpotqa,kivi
174,hotpotqa,kivi
189,hotpotqa,kivi
169,hotpotqa,kivi
48,hotpotqa,kivi
58,hotpotqa,kivi
197,triviaqa,kivi
187,hotpotqa,kivi
144,triviaqa,kivi
35,triviaqa,streaming
52,triviaqa,kivi
21,hotpotqa,kivi
113,triviaqa,kivi
160,hotpotqa,kivi
76,triviaqa,kivi
191,hotpotqa,kivi
143,triviaqa,kivi
93,triviaqa,kivi
108,triviaqa,kivi
149,hotpotqa,kivi
57,triviaqa,kivi
130,hotpotqa,kivi
151,hotpotqa,kivi
159,triviaqa,streaming
99,hotpotqa,kivi
87,hotpotqa,kivi
172,triviaqa,kivi
130,triviaqa,kivi
14,triviaqa,kivi
199,triviaqa,kivi
121,hotpotqa,kivi
188,hotpotqa,kivi
20,hotpotqa,kivi
71,hotpotqa,kivi
106,hotpotqa,kivi
70,triviaqa,kivi
148,triviaqa,kivi
102,hotpotqa,kivi
