Token Number,Rates,length,index_in_dataset,occurrence_number,device,ttft,ROUGEL
9542,[0.728571429.],6406,0,2,disk,0.9336769261835051,1.0
2686,[0.728571429.],1794,1,2,disk,0.2623884858222112,0.5142857142857143
13128,[0.728571429.],8984,2,2,disk,1.284791329207951,0.611111111111111
8433,[0.728571429.],5623,3,2,disk,0.8250919086279808,0.6428571428571429
9969,[0.728571429.],6749,4,2,disk,0.9754855848816195,0.6017699115044248
14296,[0.728571429.],9574,5,2,disk,1.3991531871924887,0.5555555555555556
16774,[0.728571429.],11372,6,2,disk,1.6417804852110545,0.4301075268817204
16636,[0.728571429.],11240,7,2,disk,1.6282685533601415,0.6666666666666667
11618,[0.728571429.],7689,8,2,disk,1.1369433792450636,0.676470588235294
3122,[0.728571429.],2113,9,2,disk,0.3050783574671243,0.6097560975609756
9919,[0.728571429.],6608,10,2,disk,0.9705899573994048,0.8135593220338984
9723,[0.728571429.],6582,11,2,disk,0.9513990976691228,1.0
5172,[0.728571429.],3507,12,2,disk,0.5057990842379312,0.7878787878787878
13070,[0.728571429.],8785,13,2,disk,1.2791124013285817,0.972972972972973
11101,[0.728571429.],7565,14,2,disk,1.0863225910789627,0.6216216216216216
9913,[0.728571429.],6750,15,2,disk,0.9700024821015389,0.8571428571428572
4571,[0.728571429.],3141,16,2,disk,0.44695364190170933,1.0
3224,[0.728571429.],2154,17,2,disk,0.3150654375308425,0.92
14458,[0.728571429.],9666,18,2,disk,1.4150150202348648,1.0
4828,[0.728571429.],3170,19,2,disk,0.4721171671602934,1.0
16267,[0.728571429.],11154,20,2,disk,1.5921388225413964,1.0
15915,[0.728571429.],10825,21,2,disk,1.557673605066604,0.870967741935484
3352,[0.728571429.],2223,22,2,disk,0.3275982438853124,0.4941176470588235
7038,[0.728571429.],4803,23,2,disk,0.6885039018741878,0.8641975308641974
14003,[0.728571429.],9481,24,2,disk,1.37046481014671,0.7540983606557378
4835,[0.728571429.],3276,25,2,disk,0.4728025550078035,0.5319148936170213
10307,[0.728571429.],6884,26,2,disk,1.0085800266613916,0.8085106382978724
13713,[0.728571429.],9214,27,2,disk,1.342070170749864,0.9230769230769232
9536,[0.728571429.],6465,28,2,disk,0.9330894508856393,0.6307692307692307
18085,[0.728571429.],12184,29,2,disk,1.7701438377947265,1.0
5527,[0.728571429.],3776,30,2,disk,0.5405580393616563,0.5333333333333333
6487,[0.728571429.],4381,31,2,disk,0.6345540870201806,0.7741935483870969
6877,[0.728571429.],4686,32,2,disk,0.672739981381456,0.7083333333333334
13910,[0.728571429.],9366,33,2,disk,1.3613589430297905,0.4545454545454545
2118,[0.728571429.],1404,34,2,disk,0.206774157624251,0.761904761904762
14607,[0.728571429.],9804,35,2,disk,1.4296039901318647,0.9696969696969696
12994,[0.728571429.],8710,36,2,disk,1.2716710475556152,0.3448275862068965
14733,[0.728571429.],9918,37,2,disk,1.441940971387046,0.2083333333333333
12177,[0.728571429.],8423,38,2,disk,1.1916764944962253,0.5263157894736842
4006,[0.728571429.],2756,39,2,disk,0.391633051352682,0.5573770491803278
4806,[0.728571429.],3209,40,2,disk,0.46996309106811895,0.8627450980392156
1845,[0.728571429.],1220,41,2,disk,0.18004403157135818,0.6206896551724138
7100,[0.728571429.],4847,42,2,disk,0.6945744799521341,0.2258064516129032
15356,[0.728571429.],10366,43,2,disk,1.5029404898154424,0.7307692307692308
12192,[0.728571429.],8314,44,2,disk,1.1931451827408899,0.5405405405405406
11632,[0.728571429.],7843,45,2,disk,1.1383141549400841,0.5765765765765766
2506,[0.728571429.],1644,46,2,disk,0.24476422688623792,0.7647058823529411
7335,[0.728571429.],4912,47,2,disk,0.7175839291185436,1.0
1830,[0.728571429.],1162,48,2,disk,0.17857534332669375,0.9491525423728816
11672,[0.728571429.],7924,49,2,disk,1.1422306569258558,0.2857142857142857
4081,[0.728571429.],2654,50,2,disk,0.39897649257600426,0.923076923076923
14920,[0.728571429.],10130,51,2,disk,1.4602506181705295,1.0
14043,[0.728571429.],9449,52,2,disk,1.3743813121324817,0.925925925925926
12740,[0.728571429.],8653,53,2,disk,1.246801259945964,0.5765765765765766
3640,[0.728571429.],2483,54,2,disk,0.35579705818286966,0.823529411764706
10551,[0.728571429.],7165,55,2,disk,1.0324706887746,0.7878787878787877
16525,[0.728571429.],11138,56,2,disk,1.6174002603496247,0.8301886792452831
2149,[0.728571429.],1415,57,2,disk,0.2098094466632242,0.9090909090909092
4755,[0.728571429.],3135,58,2,disk,0.4649695510362598,0.7804878048780488
15984,[0.728571429.],10777,59,2,disk,1.5644295709920606,0.6782608695652174
3694,[0.728571429.],2448,60,2,disk,0.3610843358636616,0.5714285714285714
14556,[0.728571429.],9694,61,2,disk,1.4246104501000056,0.975609756097561
6161,[0.728571429.],4187,62,2,disk,0.6026345958361401,0.6779661016949153
8511,[0.728571429.],5874,63,2,disk,0.8327290875002359,0.6363636363636365
13165,[0.728571429.],9123,64,2,disk,1.2884140935447899,0.975609756097561
13907,[0.728571429.],9352,65,2,disk,1.3610652053808574,0.6
2517,[0.728571429.],1691,66,2,disk,0.24584126493232517,0.7605633802816901
10008,[0.728571429.],6790,67,2,disk,0.9793041743177472,1.0
9226,[0.728571429.],6236,68,2,disk,0.9027365604959076,0.4871794871794871
1497,[0.728571429.],936,69,2,disk,0.14597046429514315,1.0
11041,[0.728571429.],7481,70,2,disk,1.0804478381003049,0.4878048780487805
9053,[0.728571429.],6099,71,2,disk,0.8857976894074444,0.7999999999999999
3159,[0.728571429.],2110,72,2,disk,0.30870112180396325,0.9473684210526316
8549,[0.728571429.],5832,73,2,disk,0.8364497643867191,0.7741935483870969
9792,[0.728571429.],6733,74,2,disk,0.9581550635945791,0.7755102040816326
4725,[0.728571429.],3237,75,2,disk,0.46203217454693096,0.4
14122,[0.728571429.],9464,76,2,disk,1.3821164035543814,0.8372093023255814
13736,[0.728571429.],9356,77,2,disk,1.344322159391683,0.6923076923076923
8266,[0.728571429.],5571,78,2,disk,0.8087405128373834,0.85
15410,[0.728571429.],10434,79,2,disk,1.5082277674962346,0.40625
7246,[0.728571429.],4927,80,2,disk,0.7088697122002013,0.4102564102564102
16706,[0.728571429.],11405,81,2,disk,1.6351224318352422,0.7627118644067796
6608,[0.728571429.],4428,82,2,disk,0.6464015055271405,0.6666666666666667
6231,[0.728571429.],4173,83,2,disk,0.6094884743112408,0.7692307692307692
12939,[0.728571429.],8729,84,2,disk,1.266285857325179,1.0
3818,[0.728571429.],2519,85,2,disk,0.3732254920195544,0.8085106382978724
