Token Number,Rates,length,index_in_dataset,occurrence_number,device,ttft,ROUGEL
9542,[0.371428571.],6406,0,2,cpu,0.04742255798363526,1.0
2686,[0.371428571.],1794,1,2,disk,0.13347029522365192,0.4556962025316455
13128,[0.371428571.],8984,2,2,cpu,0.05880626513342016,0.4137931034482759
8433,[0.371428571.],5623,3,2,cpu,0.043902052900224364,0.6428571428571429
9969,[0.371428571.],6749,4,2,cpu,0.0487780635477619,0.6194690265486726
14296,[0.371428571.],9574,5,2,cpu,0.06251406489665182,0.4761904761904762
16774,[0.371428571.],11372,6,2,cpu,0.07038044144912449,0.3225806451612903
16636,[0.371428571.],11240,7,2,cpu,0.0699423623675098,0.5753424657534247
11618,[0.371428571.],7689,8,2,cpu,0.05401279112444771,0.6857142857142857
3122,[0.371428571.],2113,9,2,disk,0.15523375916157622,0.6097560975609756
9919,[0.371428571.],6608,10,2,cpu,0.04861933924282903,0.8135593220338984
9723,[0.371428571.],6582,11,2,cpu,0.04799713996749222,0.851851851851852
5172,[0.371428571.],3507,12,2,cpu,0.03355005373250307,0.7341772151898733
13070,[0.371428571.],8785,13,2,cpu,0.05862214493969803,0.972972972972973
11101,[0.371428571.],7565,14,2,cpu,0.0523715818114419,0.6415094339622641
9913,[0.371428571.],6750,15,2,cpu,0.048600292326237096,0.5833333333333334
4571,[0.371428571.],3141,16,2,disk,0.22756233541398985,0.721311475409836
3224,[0.371428571.],2154,17,2,disk,0.16032521173420988,0.92
14458,[0.371428571.],9666,18,2,cpu,0.0630283316446343,1.0
4828,[0.371428571.],3170,19,2,disk,0.240390799248959,0.8571428571428572
16267,[0.371428571.],11154,20,2,cpu,0.06877097699710526,1.0
15915,[0.371428571.],10825,21,2,cpu,0.06765355789037791,0.819672131147541
3352,[0.371428571.],2223,22,2,disk,0.16671448555084825,0.4096385542168674
7038,[0.371428571.],4803,23,2,cpu,0.039473644792597504,0.3414634146341463
14003,[0.371428571.],9481,24,2,cpu,0.061583940469745246,0.7540983606557378
4835,[0.371428571.],3276,25,2,disk,0.24074021266080642,0.4375
10307,[0.371428571.],6884,26,2,cpu,0.04985103984910805,0.8085106382978724
13713,[0.371428571.],9214,27,2,cpu,0.060663339501134644,0.8108108108108107
9536,[0.371428571.],6465,28,2,cpu,0.04740351106704331,0.4461538461538461
18085,[0.371428571.],12184,29,2,cpu,0.07454219272446415,0.4347826086956521
5527,[0.371428571.],3776,30,2,cpu,0.034676996297526394,0.4657534246575342
6487,[0.371428571.],4381,31,2,cpu,0.03772450295223736,0.7741935483870969
6877,[0.371428571.],4686,32,2,cpu,0.03896255253071368,0.5154639175257731
13910,[0.371428571.],9366,33,2,cpu,0.06128871326257013,0.5263157894736841
0,[],1404,34,2,,0.2177738550235517,1.0
14607,[0.371428571.],9804,35,2,cpu,0.06350133007333422,0.9090909090909092
12994,[0.371428571.],8710,36,2,cpu,0.05838088399620009,0.5714285714285714
