Token Number,Rates,length,index_in_dataset,occurrence_number,device
0,[0.371428571],3835,0,1,
0,[],11494,1,1,
0,[],9233,2,1,
0,[],14334,3,1,
0,[],7768,4,1,
0,[],7327,5,1,
0,[],5914,6,1,
0,[],2643,7,1,
0,[],3231,8,1,
0,[],6780,9,1,
0,[],14345,10,1,
0,[],7081,11,1,
0,[],3226,12,1,
0,[],8661,13,1,
0,[],3405,14,1,
0,[],3768,15,1,
0,[],12812,16,1,
0,[],1798,17,1,
0,[],11718,18,1,
0,[],12290,19,1,
0,[],8720,20,1,
0,[],3551,21,1,
0,[],6710,22,1,
0,[],8720,23,1,
0,[],12408,24,1,
0,[],9854,25,1,
0,[],13606,26,1,
0,[],3876,27,1,
0,[],2262,28,1,
0,[],9032,29,1,
0,[],7836,30,1,
0,[],2398,31,1,
0,[],11787,32,1,
0,[],4835,33,1,
0,[],9122,34,1,
0,[],15481,35,1,
0,[],1145,36,1,
0,[],15370,37,1,
0,[],14340,38,1,
0,[],8305,39,1,
0,[],5837,40,1,
0,[],5264,41,1,
0,[],2522,42,1,
0,[],4642,43,1,
0,[],9607,44,1,
0,[],7858,45,1,
0,[],6329,46,1,
0,[],10826,47,1,
0,[],9732,48,1,
0,[],8391,49,1,
0,[],7199,50,1,
0,[],7926,51,1,
0,[],4796,52,1,
0,[],11294,53,1,
0,[],1815,54,1,
0,[],14082,55,1,
0,[],8210,56,1,
0,[],8924,57,1,
0,[],12187,58,1,
0,[],9614,59,1,
0,[],6438,60,1,
0,[],4817,61,1,
0,[],12743,62,1,
0,[],15148,63,1,
0,[],8183,64,1,
0,[],1506,65,1,
0,[],5435,66,1,
0,[],5722,67,1,
0,[],7098,68,1,
0,[],10511,69,1,
0,[],7850,70,1,
0,[],1271,71,1,
0,[],2426,72,1,
0,[],9471,73,1,
0,[],13534,74,1,
0,[],9763,75,1,
0,[],6508,76,1,
0,[],14656,77,1,
0,[],5148,78,1,
0,[],9952,79,1,
0,[],5301,80,1,
0,[],10506,81,1,
0,[],10200,82,1,
0,[],2258,83,1,
0,[],2641,84,1,
0,[],12898,85,1,
0,[],3353,86,1,
0,[],5174,87,1,
0,[],8158,88,1,
0,[],8987,89,1,
0,[],2488,90,1,
0,[],7091,91,1,
0,[],11625,92,1,
0,[],6669,93,1,
0,[],11055,94,1,
0,[],13333,95,1,
0,[],12947,96,1,
0,[],5566,97,1,
0,[],10874,98,1,
0,[],8784,99,1,
0,[],12082,100,1,
0,[],12521,101,1,
0,[],13004,102,1,
0,[],11546,103,1,
0,[],14936,104,1,
0,[],13494,105,1,
0,[],15536,106,1,
0,[],7650,107,1,
0,[],5247,108,1,
0,[],11792,109,1,
0,[],8181,110,1,
0,[],2518,111,1,
0,[],11976,112,1,
0,[],3711,113,1,
0,[],7701,114,1,
0,[],8577,115,1,
0,[],11347,116,1,
0,[],12264,117,1,
0,[],3071,118,1,
0,[],1412,119,1,
0,[],13654,120,1,
0,[],11541,121,1,
0,[],6644,122,1,
0,[],4698,123,1,
0,[],9673,124,1,
0,[],1742,125,1,
0,[],11458,126,1,
0,[],14045,127,1,
0,[],6167,128,1,
0,[],14732,129,1,
0,[],2253,130,1,
0,[],1796,131,1,
0,[],3530,132,1,
0,[],4660,133,1,
0,[],6191,134,1,
0,[],16415,135,1,
0,[],12667,136,1,
0,[],13264,137,1,
0,[],2125,138,1,
0,[],9517,139,1,
0,[],14158,140,1,
0,[],8200,141,1,
0,[],8488,142,1,
0,[],5506,143,1,
0,[],5423,144,1,
0,[],9011,145,1,
0,[],6183,146,1,
0,[],12173,147,1,
0,[],10616,148,1,
0,[],9271,149,1,
0,[],3647,150,1,
0,[],16633,151,1,
0,[],4905,152,1,
0,[],13765,153,1,
0,[],6891,154,1,
0,[],14333,155,1,
0,[],1799,156,1,
0,[],8747,157,1,
0,[],8594,158,1,
0,[],13838,159,1,
0,[],7192,160,1,
0,[],10189,161,1,
0,[],6854,162,1,
0,[],8312,163,1,
0,[],1495,164,1,
0,[],3073,165,1,
0,[],1987,166,1,
0,[],12699,167,1,
0,[],14752,168,1,
0,[],2165,169,1,
0,[],9104,170,1,
0,[],13129,171,1,
0,[],11860,172,1,
0,[],8097,173,1,
0,[],5594,174,1,
0,[],13218,175,1,
0,[],8062,176,1,
0,[],9123,177,1,
0,[],2046,178,1,
0,[],7788,179,1,
0,[],9983,180,1,
0,[],7102,181,1,
0,[],5611,182,1,
0,[],4383,183,1,
0,[],6286,184,1,
0,[],8477,185,1,
0,[],2459,186,1,
0,[],14698,187,1,
0,[],4845,188,1,
0,[],12928,189,1,
0,[],5667,190,1,
0,[],6267,191,1,
0,[],10094,192,1,
0,[],1762,193,1,
0,[],11106,194,1,
0,[],8906,195,1,
0,[],10112,196,1,
0,[],6687,197,1,
0,[],12096,198,1,
0,[],1968,199,1,
5599,[0.371428571.],3835,0,2,disk
16531,[0.371428571.],11494,1,2,disk
13322,[0.371428571.],9233,2,2,disk
20988,[0.371428571.],14334,3,2,disk
11839,[0.371428571.],7768,4,2,disk
11674,[0.371428571.],7327,5,2,disk
8163,[0.371428571.],5914,6,2,disk
3758,[0.371428571.],2643,7,2,disk
4611,[0.371428571.],3231,8,2,disk
9618,[0.371428571.],6780,9,2,disk
20124,[0.371428571.],14345,10,2,disk
10214,[0.371428571.],7081,11,2,disk
4676,[0.371428571.],3226,12,2,disk
12755,[0.371428571.],8661,13,2,disk
5000,[0.371428571.],3405,14,2,disk
5472,[0.371428571.],3768,15,2,disk
17773,[0.371428571.],12812,16,2,disk
2597,[0.371428571.],1798,17,2,disk
16691,[0.371428571.],11718,18,2,disk
16946,[0.371428571.],12290,19,2,disk
13013,[0.371428571.],8720,20,2,disk
5103,[0.371428571.],3551,21,2,disk
9252,[0.371428571.],6710,22,2,disk
12492,[0.371428571.],8720,23,2,disk
18487,[0.371428571.],12408,24,2,disk
14025,[0.371428571.],9854,25,2,disk
19455,[0.371428571.],13606,26,2,disk
5697,[0.371428571.],3876,27,2,disk
3276,[0.371428571.],2262,28,2,disk
12708,[0.371428571.],9032,29,2,disk
11106,[0.371428571.],7836,30,2,disk
3444,[0.371428571.],2398,31,2,disk
16699,[0.371428571.],11787,32,2,disk
7077,[0.371428571.],4835,33,2,disk
14300,[0.371428571.],9122,34,2,disk
21845,[0.371428571.],15481,35,2,disk
1598,[0.371428571.],1145,36,2,disk
22196,[0.371428571.],15370,37,2,disk
20093,[0.371428571.],14340,38,2,disk
12082,[0.371428571.],8305,39,2,disk
8419,[0.371428571.],5837,40,2,disk
7684,[0.371428571.],5264,41,2,disk
3589,[0.371428571.],2522,42,2,disk
6827,[0.371428571.],4642,43,2,disk
13118,[0.371428571.],9607,44,2,disk
11215,[0.371428571.],7858,45,2,disk
9333,[0.371428571.],6329,46,2,disk
15442,[0.371428571.],10826,47,2,disk
14692,[0.371428571.],9732,48,2,disk
11967,[0.371428571.],8391,49,2,disk
10546,[0.371428571.],7199,50,2,disk
11597,[0.371428571.],7926,51,2,disk
7028,[0.371428571.],4796,52,2,disk
16204,[0.371428571.],11294,53,2,disk
2631,[0.371428571.],1815,54,2,disk
19774,[0.371428571.],14082,55,2,disk
11924,[0.371428571.],8210,56,2,disk
14564,[0.371428571.],8924,57,2,disk
18598,[0.371428571.],12187,58,2,disk
13779,[0.371428571.],9614,59,2,disk
10469,[0.371428571.],6438,60,2,disk
7182,[0.371428571.],4817,61,2,disk
18063,[0.371428571.],12743,62,2,disk
21684,[0.371428571.],15148,63,2,disk
11774,[0.371428571.],8183,64,2,disk
2150,[0.371428571.],1506,65,2,disk
7472,[0.371428571.],5435,66,2,disk
8154,[0.371428571.],5722,67,2,disk
9995,[0.371428571.],7098,68,2,disk
14762,[0.371428571.],10511,69,2,disk
11404,[0.371428571.],7850,70,2,disk
1948,[0.371428571.],1271,71,2,disk
3809,[0.371428571.],2426,72,2,disk
13588,[0.371428571.],9471,73,2,disk
19693,[0.371428571.],13534,74,2,disk
14076,[0.371428571.],9763,75,2,disk
9518,[0.371428571.],6508,76,2,disk
21052,[0.371428571.],14656,77,2,disk
7263,[0.371428571.],5148,78,2,disk
13951,[0.371428571.],9952,79,2,disk
7817,[0.371428571.],5301,80,2,disk
15298,[0.371428571.],10506,81,2,disk
14775,[0.371428571.],10200,82,2,disk
3419,[0.371428571.],2258,83,2,disk
4273,[0.371428571.],2641,84,2,disk
18173,[0.371428571.],12898,85,2,disk
4736,[0.371428571.],3353,86,2,disk
7198,[0.371428571.],5174,87,2,disk
11667,[0.371428571.],8158,88,2,disk
13126,[0.371428571.],8987,89,2,disk
4435,[0.371428571.],2488,90,2,disk
10081,[0.371428571.],7091,91,2,disk
16559,[0.371428571.],11625,92,2,disk
9078,[0.371428571.],6669,93,2,disk
15727,[0.371428571.],11055,94,2,disk
19397,[0.371428571.],13333,95,2,disk
17809,[0.371428571.],12947,96,2,disk
8261,[0.371428571.],5566,97,2,disk
16494,[0.371428571.],10874,98,2,disk
12595,[0.371428571.],8784,99,2,disk
18238,[0.371428571.],12082,100,2,disk
18392,[0.371428571.],12521,101,2,disk
18687,[0.371428571.],13004,102,2,disk
16447,[0.371428571.],11546,103,2,disk
21781,[0.371428571.],14936,104,2,disk
19363,[0.371428571.],13494,105,2,disk
23279,[0.371428571.],15536,106,2,disk
11096,[0.371428571.],7650,107,2,disk
7350,[0.371428571.],5247,108,2,disk
17127,[0.371428571.],11792,109,2,disk
11889,[0.371428571.],8181,110,2,disk
3424,[0.371428571.],2518,111,2,disk
16731,[0.371428571.],11976,112,2,disk
5465,[0.371428571.],3711,113,2,disk
11250,[0.371428571.],7701,114,2,disk
12583,[0.371428571.],8577,115,2,disk
16801,[0.371428571.],11347,116,2,disk
16948,[0.371428571.],12264,117,2,disk
4495,[0.371428571.],3071,118,2,disk
2061,[0.371428571.],1412,119,2,disk
19821,[0.371428571.],13654,120,2,disk
17856,[0.371428571.],11541,121,2,disk
10131,[0.371428571.],6644,122,2,disk
6829,[0.371428571.],4698,123,2,disk
13376,[0.371428571.],9673,124,2,disk
2650,[0.371428571.],1742,125,2,disk
16382,[0.371428571.],11458,126,2,disk
20775,[0.371428571.],14045,127,2,disk
8666,[0.371428571.],6167,128,2,disk
20984,[0.371428571.],14732,129,2,disk
3358,[0.371428571.],2253,130,2,disk
2570,[0.371428571.],1796,131,2,disk
4961,[0.371428571.],3530,132,2,disk
6579,[0.371428571.],4660,133,2,disk
9191,[0.371428571.],6191,134,2,disk
23420,[0.371428571.],16415,135,2,disk
18194,[0.371428571.],12667,136,2,disk
19157,[0.371428571.],13264,137,2,disk
