index,dataset,method
9,qmsum,kivi
80,qmsum,kivi
33,samsum,kivi
10,qmsum,kivi
93,samsum,kivi
126,samsum,kivi
66,qmsum,kivi
94,samsum,kivi
129,qmsum,kivi
84,samsum,kivi
9,samsum,kivi
161,qmsum,kivi
56,samsum,kivi
72,samsum,kivi
132,samsum,kivi
42,samsum,kivi
78,qmsum,kivi
176,qmsum,kivi
31,qmsum,kivi
185,qmsum,kivi
77,samsum,kivi
191,qmsum,kivi
15,samsum,kivi
71,qmsum,kivi
0,samsum,kivi
196,qmsum,kivi
114,samsum,kivi
25,qmsum,kivi
104,samsum,kivi
62,qmsum,kivi
195,qmsum,kivi
193,samsum,kivi
61,qmsum,kivi
57,samsum,kivi
116,samsum,kivi
32,qmsum,kivi
113,samsum,kivi
142,qmsum,kivi
158,samsum,kivi
141,samsum,kivi
181,qmsum,kivi
55,samsum,kivi
76,samsum,kivi
25,samsum,kivi
82,samsum,kivi
182,qmsum,kivi
148,samsum,kivi
181,samsum,kivi
22,samsum,kivi
173,samsum,kivi
46,samsum,kivi
121,qmsum,kivi
138,qmsum,kivi
70,samsum,kivi
174,qmsum,kivi
23,qmsum,kivi
39,samsum,kivi
172,samsum,kivi
30,samsum,kivi
152,samsum,kivi
94,qmsum,kivi
124,samsum,kivi
55,qmsum,kivi
78,samsum,kivi
68,qmsum,kivi
73,samsum,kivi
101,samsum,kivi
31,samsum,kivi
152,qmsum,kivi
120,qmsum,kivi
194,qmsum,kivi
5,samsum,kivi
140,samsum,kivi
188,qmsum,kivi
45,samsum,kivi
46,qmsum,kivi
27,qmsum,kivi
176,samsum,kivi
169,qmsum,kivi
3,samsum,kivi
89,qmsum,kivi
18,samsum,kivi
2,qmsum,kivi
74,qmsum,kivi
50,qmsum,kivi
63,samsum,kivi
90,samsum,kivi
48,qmsum,kivi
101,qmsum,kivi
108,samsum,kivi
135,qmsum,kivi
33,qmsum,kivi
118,samsum,kivi
180,samsum,kivi
20,qmsum,kivi
114,qmsum,kivi
173,qmsum,kivi
180,qmsum,kivi
39,qmsum,kivi
75,samsum,kivi
47,qmsum,kivi
110,samsum,kivi
16,samsum,kivi
66,samsum,kivi
153,samsum,kivi
7,samsum,kivi
19,samsum,kivi
155,qmsum,kivi
137,samsum,kivi
149,qmsum,kivi
131,samsum,kivi
187,qmsum,kivi
92,qmsum,kivi
186,qmsum,kivi
97,qmsum,kivi
60,samsum,kivi
79,samsum,kivi
85,qmsum,kivi
105,qmsum,kivi
81,qmsum,kivi
157,samsum,kivi
109,samsum,kivi
17,samsum,kivi
147,qmsum,kivi
24,samsum,kivi
175,samsum,kivi
151,qmsum,kivi
132,qmsum,kivi
45,qmsum,kivi
167,samsum,kivi
111,qmsum,kivi
145,samsum,kivi
58,qmsum,kivi
119,samsum,kivi
177,samsum,kivi
194,samsum,kivi
29,qmsum,kivi
65,qmsum,kivi
18,qmsum,kivi
36,samsum,kivi
107,qmsum,kivi
139,samsum,kivi
91,qmsum,kivi
196,samsum,kivi
155,samsum,kivi
84,qmsum,kivi
111,samsum,kivi
59,samsum,kivi
165,samsum,kivi
163,qmsum,kivi
133,qmsum,kivi
6,samsum,kivi
150,samsum,kivi
192,samsum,kivi
10,samsum,kivi
75,qmsum,kivi
103,samsum,kivi
198,qmsum,kivi
116,qmsum,kivi
81,samsum,kivi
175,qmsum,kivi
8,qmsum,kivi
86,qmsum,kivi
168,samsum,kivi
153,qmsum,kivi
89,samsum,kivi
163,samsum,kivi
177,qmsum,kivi
92,samsum,kivi
28,qmsum,kivi
147,samsum,kivi
69,samsum,kivi
123,samsum,kivi
96,samsum,kivi
143,samsum,kivi
126,qmsum,kivi
97,samsum,kivi
122,samsum,kivi
144,samsum,kivi
23,samsum,kivi
38,qmsum,kivi
37,samsum,kivi
68,samsum,kivi
182,samsum,kivi
67,samsum,kivi
198,samsum,kivi
124,qmsum,kivi
117,qmsum,kivi
19,qmsum,kivi
195,samsum,kivi
125,samsum,kivi
146,samsum,kivi
86,samsum,kivi
171,qmsum,kivi
140,qmsum,kivi
136,qmsum,kivi
137,qmsum,kivi
154,qmsum,kivi
134,qmsum,kivi
102,qmsum,kivi
183,samsum,kivi
3,qmsum,kivi
83,qmsum,kivi
11,qmsum,kivi
82,qmsum,kivi
129,samsum,kivi
38,samsum,kivi
11,samsum,kivi
125,qmsum,kivi
185,samsum,kivi
22,qmsum,kivi
112,samsum,kivi
179,samsum,kivi
127,qmsum,kivi
99,qmsum,kivi
117,samsum,kivi
168,qmsum,kivi
77,qmsum,kivi
184,qmsum,kivi
87,qmsum,kivi
162,qmsum,kivi
164,samsum,kivi
154,samsum,kivi
136,samsum,kivi
53,qmsum,kivi
199,samsum,kivi
197,samsum,kivi
192,qmsum,kivi
2,samsum,kivi
4,qmsum,kivi
115,samsum,kivi
34,qmsum,kivi
37,qmsum,kivi
26,samsum,kivi
120,samsum,kivi
24,qmsum,kivi
157,qmsum,kivi
160,qmsum,kivi
178,qmsum,kivi
150,qmsum,kivi
179,qmsum,kivi
127,samsum,kivi
189,qmsum,kivi
83,samsum,kivi
74,samsum,kivi
29,samsum,kivi
122,qmsum,kivi
107,samsum,kivi
49,qmsum,kivi
96,qmsum,kivi
133,samsum,kivi
44,qmsum,kivi
184,samsum,kivi
90,qmsum,kivi
167,qmsum,kivi
44,samsum,kivi
65,samsum,kivi
85,samsum,kivi
42,qmsum,kivi
186,samsum,kivi
159,samsum,kivi
12,samsum,kivi
35,samsum,kivi
28,samsum,kivi
142,samsum,kivi
170,samsum,kivi
118,qmsum,kivi
72,qmsum,kivi
21,qmsum,kivi
95,samsum,kivi
51,samsum,kivi
98,qmsum,kivi
40,qmsum,kivi
104,qmsum,kivi
41,samsum,kivi
178,samsum,kivi
110,qmsum,kivi
6,qmsum,kivi
131,qmsum,kivi
54,qmsum,kivi
4,samsum,kivi
158,qmsum,kivi
56,qmsum,kivi
100,samsum,kivi
26,qmsum,kivi
141,qmsum,kivi
171,samsum,kivi
13,qmsum,kivi
98,samsum,kivi
15,qmsum,kivi
61,samsum,kivi
32,samsum,kivi
47,samsum,kivi
67,qmsum,kivi
156,qmsum,kivi
0,qmsum,kivi
27,samsum,kivi
162,samsum,kivi
88,qmsum,kivi
60,qmsum,kivi
30,qmsum,kivi
112,qmsum,kivi
170,qmsum,kivi
138,samsum,kivi
62,samsum,kivi
135,samsum,kivi
8,samsum,kivi
128,samsum,kivi
100,qmsum,kivi
64,samsum,kivi
14,samsum,kivi
156,samsum,kivi
123,qmsum,kivi
166,qmsum,kivi
40,samsum,kivi
16,qmsum,kivi
79,qmsum,kivi
146,qmsum,kivi
36,qmsum,kivi
7,qmsum,kivi
95,qmsum,kivi
12,qmsum,kivi
164,qmsum,kivi
51,qmsum,kivi
190,qmsum,kivi
165,qmsum,kivi
103,qmsum,kivi
69,qmsum,kivi
1,qmsum,kivi
161,samsum,kivi
190,samsum,kivi
17,qmsum,kivi
43,samsum,kivi
109,qmsum,kivi
59,qmsum,kivi
105,samsum,kivi
53,samsum,kivi
1,samsum,kivi
49,samsum,kivi
80,samsum,kivi
5,qmsum,kivi
34,samsum,kivi
63,qmsum,kivi
139,qmsum,kivi
91,samsum,kivi
52,samsum,kivi
145,qmsum,kivi
64,qmsum,kivi
41,qmsum,kivi
13,samsum,kivi
73,qmsum,kivi
115,qmsum,kivi
88,samsum,kivi
166,samsum,kivi
128,qmsum,kivi
193,qmsum,kivi
134,samsum,kivi
106,qmsum,kivi
183,qmsum,kivi
119,qmsum,kivi
43,qmsum,kivi
54,samsum,kivi
50,samsum,kivi
189,samsum,kivi
174,samsum,kivi
197,qmsum,kivi
187,samsum,kivi
169,samsum,kivi
58,samsum,kivi
48,samsum,kivi
144,qmsum,kivi
35,qmsum,kivi
52,qmsum,kivi
