Token Number,Rates,length,index_in_dataset,occurrence_number
0,[1],6733,74,1
0,[],3741,190,1
0,[],6607,146,1
0,[],4339,119,1
0,[],4381,31,1
6487,[1],4381,31,2
0,[],6582,11,1
0,[],10231,173,1
0,[],4873,120,1
0,[],10032,141,1
0,[],6749,4,1
0,[],6053,193,1
0,[],10497,166,1
0,[],4847,42,1
0,[],8710,36,1
12994,[1],8710,36,2
0,[],2448,60,1
0,[],2017,104,1
0,[],2227,86,1
0,[],3135,58,1
0,[],7230,122,1
0,[],9214,27,1
4755,[1],3135,58,2
0,[],5832,73,1
0,[],6376,91,1
0,[],8932,156,1
0,[],2756,39,1
0,[],6846,102,1
0,[],5133,118,1
0,[],2113,9,1
0,[],3477,121,1
0,[],1404,34,1
0,[],3507,12,1
0,[],8435,189,1
8756,[1],6053,193,2
0,[],3760,161,1
3694,[1],2448,60,2
0,[],3170,19,1
0,[],2027,136,1
0,[],2045,87,1
0,[],9481,24,1
0,[],1734,98,1
0,[],11372,6,1
0,[],2757,181,1
0,[],10130,51,1
0,[],9070,132,1
0,[],4187,62,1
0,[],2161,103,1
0,[],4694,109,1
12994,[1],8710,36,3
8756,[1],6053,193,3
0,[],7046,154,1
0,[],5775,187,1
0,[],3022,179,1
6468,[1],4339,119,2
0,[],2858,184,1
0,[],2154,17,1
4006,[1],2756,39,2
3122,[1],2113,9,2
0,[],9123,64,1
0,[],9356,77,1
0,[],2483,54,1
0,[],1918,165,1
0,[],6099,71,1
0,[],11138,56,1
0,[],5308,108,1
0,[],6465,28,1
0,[],11057,160,1
0,[],7565,14,1
0,[],11366,197,1
10503,[0.728571429.],7046,154,2
4006,[1],2756,39,3
0,[],1794,1,1
0,[],5382,163,1
14713,[0.728571429.],10032,141,2
0,[],7136,145,1
10503,[0.728571429.],7046,154,3
11101,[0.728571429.],7565,14,2
9053,[0.728571429.],6099,71,2
0,[],4803,23,1
0,[],7209,172,1
0,[],3446,124,1
0,[],9352,65,1
5172,[0.728571429.],3507,12,2
0,[],9694,61,1
13165,[0.728571429.],9123,64,2
10590,[0.728571429.],7136,145,2
0,[],9769,127,1
0,[],3613,177,1
0,[],7781,94,1
7038,[0.728571429.],4803,23,2
0,[],3375,142,1
0,[],9076,152,1
0,[],5696,112,1
10503,[0.728571429.],7046,154,4
0,[],1734,98,2
3038,[1],2017,104,2
0,[],2519,85,1
0,[],9574,5,1
0,[],10825,21,1
16774,[0.485714286.],11372,6,2
14227,[0.485714286.],9769,127,2
6161,[0.728571429.],4187,62,2
0,[],7940,101,1
4229,[0.728571429.],2757,181,2
0,[],7924,49,1
0,[],11405,81,1
0,[],7157,151,1
0,[],7843,45,1
0,[],6750,15,1
0,[],1415,57,1
6487,[0.728571429.],4381,31,3
0,[],7941,185,1
5550,[0.728571429.],3760,161,2
0,[],10618,126,1
0,[],4187,174,1
16371,[0.485714286.],11057,160,2
0,[],9918,37,1
0,[],10898,178,1
0,[],5587,107,1
5550,[0.728571429.],3760,161,3
4468,[0.728571429.],3022,179,2
0,[],5874,63,1
15915,[0.485714286.],10825,21,2
11632,[0.485714286.],7843,45,2
3818,[0.728571429.],2519,85,2
7923,[0.728571429.],5382,163,2
10759,[0.485714286.],7209,172,2
0,[],1794,1,2
10121,[0.485714286.],6846,102,2
0,[],4173,83,1
0,[],8314,44,1
7038,[0.728571429.],4803,23,3
0,[],6790,67,1
0,[],3429,188,1
13165,[0.728571429.],9123,64,3
0,[],2161,103,2
0,[],11317,140,1
0,[],2110,72,1
0,[],1198,194,1
0,[],5492,192,1
0,[],2654,50,1
0,[],7127,99,1
0,[],10777,59,1
16525,[0.485714286.],11138,56,2
0,[],11240,7,1
5207,[0.728571429.],3477,121,2
0,[],8851,100,1
0,[],6608,10,1
0,[],7165,55,1
4229,[0.728571429.],2757,181,3
0,[],4912,47,1
9536,[0.485714286.],6465,28,2
0,[],10251,97,1
16708,[0.485714286.],11366,197,2
0,[],1162,48,1
0,[],6422,134,1
13474,[0.485714286.],9076,152,2
7335,[0.485714286.],4912,47,2
10590,[0.485714286.],7136,145,3
0,[],2110,72,2
15755,[0.485714286.],10618,126,2
15755,[0.485714286.],10618,126,3
0,[],3539,106,1
0,[],2154,17,2
15565,[0.485714286.],10497,166,2
8511,[0.485714286.],5874,63,2
14733,[0.485714286.],9918,37,2
0,[],7689,8,1
7586,[0.485714286.],5133,118,2
0,[],9570,135,1
0,[],5623,3,1
10121,[0.485714286.],6846,102,3
11632,[0.485714286.],7843,45,3
0,[],3082,128,1
0,[],1404,34,2
0,[],1652,137,1
0,[],9464,76,1
8606,[0.485714286.],5775,187,2
13713,[0.485714286.],9214,27,2
10008,[0.485714286.],6790,67,2
0,[],2223,22,1
0,[],2858,184,2
0,[],2808,175,1
14920,[0.485714286.],10130,51,2
0,[],6253,131,1
7923,[0.485714286.],5382,163,3
0,[],3916,110,1
0,[],6247,105,1
0,[],1162,48,2
0,[],9666,18,1
4468,[0.728571429.],3022,179,3
0,[],10071,180,1
15755,[0.485714286.],10618,126,4
10008,[0.485714286.],6790,67,3
0,[],936,69,1
10590,[0.485714286.],7136,145,4
4468,[0.728571429.],3022,179,4
0,[],3613,177,2
0,[],1909,155,1
0,[],3082,128,2
0,[],3141,16,1
0,[],4686,32,1
4468,[0.728571429.],3022,179,5
5207,[0.728571429.],3477,121,3
0,[],1794,1,3
0,[],11154,20,1
13752,[0.485714286.],9070,132,2
0,[],1794,1,4
6487,[0.728571429.],4381,31,4
0,[],4694,109,2
0,[],3425,138,1
0,[],2343,130,1
12192,[0.485714286.],8314,44,2
0,[],3375,142,2
7335,[0.485714286.],4912,47,3
13165,[0.485714286.],9123,64,4
0,[],9216,149,1
0,[],1322,129,1
0,[],6911,169,1
9414,[0.485714286.],6253,131,2
0,[],3928,113,1
14458,[0.485714286.],9666,18,2
0,[],2110,72,3
0,[],9449,52,1
0,[],1162,48,3
0,[],1198,194,2
13736,[0.485714286.],9356,77,2
16175,[0.485714286.],10898,178,2
15755,[0.485714286.],10618,126,5
0,[],5004,158,1
12952,[0.485714286.],8851,100,2
0,[],2148,115,1
0,[],1734,98,3
0,[],8423,38,1
0,[],6914,144,1
10551,[0.485714286.],7165,55,2
9969,[0.485714286.],6749,4,2
0,[],3082,128,3
0,[],9804,35,1
8606,[0.485714286.],5775,187,3
0,[],3741,190,2
0,[],7807,182,1
0,[],5832,73,2
0,[],5623,3,2
11810,[0.485714286.],7941,185,2
0,[],2519,85,3
8756,[0.728571429.],6053,193,4
0,[],5492,192,2
0,[],9980,170,1
0,[],3135,58,3
14122,[0.485714286.],9464,76,2
14586,[0.485714286.],9980,170,2
6161,[0.728571429.],4187,62,3
0,[],9366,33,1
0,[],8726,111,1
8606,[0.485714286.],5775,187,4
0,[],3380,139,1
0,[],3928,113,2
0,[],3170,19,2
10654,[0.485714286.],7230,122,2
16708,[0.485714286.],11366,197,3
13713,[0.485714286.],9214,27,3
0,[],2161,103,3
0,[],2808,175,2
0,[],11799,148,1
0,[],3380,139,2
16668,[0.485714286.],11317,140,2
9053,[0.485714286.],6099,71,3
0,[],3135,58,4
5550,[0.728571429.],3760,161,4
0,[],7949,162,1
15001,[0.485714286.],10231,173,2
11382,[0.371428571.],7807,182,2
10121,[0.485714286.],6846,102,4
12952,[0.485714286.],8851,100,3
0,[],2904,159,1
0,[],2343,130,2
16668,[0.485714286.],11317,140,3
0,[],2904,159,2
16175,[0.485714286.],10898,178,3
10008,[0.485714286.],6790,67,4
0,[],6733,74,2
14458,[0.485714286.],9666,18,3
0,[],2148,115,2
16636,[0.485714286.],11240,7,2
0,[],6247,93,1
0,[],5308,108,2
0,[],1415,57,2
7586,[0.485714286.],5133,118,3
16774,[0.485714286.],11372,6,3
16636,[0.485714286.],11240,7,3
0,[],9891,164,1
9053,[0.485714286.],6099,71,4
0,[],3276,25,1
0,[],2017,104,3
10503,[0.728571429.],7046,154,5
0,[],10366,43,1
0,[],3446,124,2
0,[],2154,17,3
0,[],6608,10,2
0,[],3539,106,2
0,[],5308,108,3
14227,[0.485714286.],9769,127,3
10590,[0.485714286.],7136,145,5
0,[],1198,194,3
0,[],2161,103,4
13165,[0.485714286.],9123,64,5
0,[],2904,159,3
0,[],2483,54,2
0,[],2045,87,2
0,[],6750,15,2
14296,[0.485714286.],9574,5,2
0,[],5492,192,3
0,[],7511,167,1
0,[],3380,139,3
16706,[0.485714286.],11405,81,2
0,[],1404,34,3
6487,[0.728571429.],4381,31,5
11672,[0.371428571.],7924,49,2
0,[],4694,109,3
0,[],3375,142,3
9414,[0.485714286.],6253,131,3
10551,[0.485714286.],7165,55,3
0,[],3741,190,3
0,[],7032,147,1
0,[],3916,110,2
10654,[0.485714286.],7230,122,3
0,[],4173,83,2
11672,[0.371428571.],7924,49,3
0,[],7481,70,1
0,[],7157,151,2
0,[],8984,2,1
7038,[0.728571429.],4803,23,4
0,[],2113,9,3
16636,[0.485714286.],11240,7,4
0,[],1985,171,1
16668,[0.485714286.],11317,140,4
11739,[0.371428571.],7781,94,2
0,[],3170,19,3
0,[],1734,98,4
11739,[0.371428571.],7781,94,3
0,[],1404,34,4
0,[],2227,86,2
0,[],10434,79,1
0,[],11070,123,1
15755,[0.485714286.],10618,126,6
11618,[0.371428571.],7689,8,2
0,[],6733,74,3
0,[],3931,125,1
12952,[0.485714286.],8851,100,4
0,[],1985,171,2
9414,[0.485714286.],6253,131,4
0,[],4686,32,2
0,[],8785,13,1
0,[],3082,128,4
14296,[0.485714286.],9574,5,3
0,[],11695,117,1
8606,[0.485714286.],5775,187,5
0,[],2148,115,3
13736,[0.485714286.],9356,77,3
0,[],3082,128,5
0,[],6376,91,2
0,[],4694,109,4
0,[],3429,188,2
14122,[0.485714286.],9464,76,3
0,[],5492,192,4
4229,[0.728571429.],2757,181,4
12177,[0.371428571.],8423,38,2
13070,[0.371428571.],8785,13,2
0,[],3170,19,4
0,[],5623,3,3
14458,[0.485714286.],9666,18,4
0,[],2027,136,2
13070,[0.371428571.],8785,13,3
8511,[0.485714286.],5874,63,3
0,[],3617,168,1
9969,[0.485714286.],6749,4,3
11771,[0.371428571.],7949,162,2
16525,[0.485714286.],11138,56,3
7038,[0.728571429.],4803,23,5
0,[],3380,139,4
0,[],3931,125,2
0,[],2808,175,3
0,[],6607,146,2
16371,[0.485714286.],11057,160,3
16525,[0.485714286.],11138,56,4
14607,[0.371428571.],9804,35,2
13413,[0.371428571.],9216,149,2
5550,[0.728571429.],3760,161,5
16708,[0.485714286.],11366,197,4
0,[],4428,82,1
0,[],5832,73,3
0,[],1909,155,2
10008,[0.485714286.],6790,67,5
0,[],10326,186,1
0,[],1985,171,3
0,[],2519,85,4
0,[],1820,150,1
0,[],1820,150,2
16267,[0.485714286.],11154,20,2
14723,[0.371428571.],10071,180,2
11724,[0.371428571.],7940,101,2
0,[],1918,165,2
8511,[0.485714286.],5874,63,4
4468,[0.728571429.],3022,179,6
13736,[0.485714286.],9356,77,4
13128,[0.371428571.],8984,2,2
14723,[0.371428571.],10071,180,3
0,[],2154,17,4
8511,[0.485714286.],5874,63,5
12400,[0.371428571.],8435,189,2
0,[],3741,190,4
0,[],4162,114,1
15755,[0.485714286.],10618,126,7
0,[],8345,89,1
0,[],3135,58,5
13907,[0.371428571.],9352,65,2
0,[],6422,134,2
0,[],1820,150,3
0,[],5004,158,2
0,[],5004,158,3
0,[],2154,17,5
0,[],7127,99,2
0,[],6582,11,2
0,[],4694,109,5
0,[],7008,88,1
0,[],3613,177,3
0,[],936,69,2
0,[],2223,22,2
9536,[0.485714286.],6465,28,3
13474,[0.485714286.],9076,152,3
16049,[0.485714286.],11070,123,2
0,[],3170,19,5
0,[],3141,16,2
16668,[0.485714286.],11317,140,5
11101,[0.485714286.],7565,14,3
14415,[0.371428571.],9891,164,2
14713,[0.485714286.],10032,141,3
0,[],3141,16,3
0,[],3141,16,4
16708,[0.485714286.],11366,197,5
0,[],6733,74,4
0,[],5832,73,4
11771,[0.371428571.],7949,162,3
12400,[0.371428571.],8435,189,3
16708,[0.485714286.],11366,197,6
0,[],1820,150,4
0,[],6733,74,5
0,[],3141,16,5
0,[],1909,155,3
12735,[0.371428571.],8726,111,2
0,[],8729,84,1
4229,[0.728571429.],2757,181,5
15915,[0.485714286.],10825,21,3
0,[],1734,98,5
13128,[0.371428571.],8984,2,3
0,[],6247,93,2
0,[],6582,11,3
7038,[0.728571429.],4803,23,6
0,[],2223,22,3
0,[],1322,129,2
13413,[0.371428571.],9216,149,3
0,[],2292,116,1
0,[],5492,192,5
0,[],6733,74,6
16525,[0.485714286.],11138,56,5
15001,[0.485714286.],10231,173,3
12192,[0.485714286.],8314,44,3
0,[],5492,192,6
13128,[0.371428571.],8984,2,4
8756,[0.728571429.],6053,193,5
11618,[0.371428571.],7689,8,3
16175,[0.485714286.],10898,178,4
0,[],6247,105,2
0,[],5523,198,1
11101,[0.485714286.],7565,14,4
0,[],3916,110,3
8756,[0.728571429.],6053,193,6
0,[],2017,104,4
15755,[0.485714286.],10618,126,8
0,[],3380,139,5
0,[],6376,91,3
0,[],3931,125,3
17239,[0.485714286.],11695,117,2
14723,[0.371428571.],10071,180,4
11618,[0.371428571.],7689,8,4
16525,[0.485714286.],11138,56,6
0,[],3741,190,5
16175,[0.485714286.],10898,178,5
9357,[0.371428571.],6376,91,4
0,[],3446,124,3
10551,[0.485714286.],7165,55,4
14733,[0.485714286.],9918,37,3
0,[],9637,92,1
0,[],7481,70,2
17239,[0.485714286.],11695,117,3
0,[],6750,15,3
0,[],1198,194,4
16708,[0.485714286.],11366,197,7
0,[],3380,139,6
0,[],5587,107,2
